state_0,state_1,action_0
-0.46852738,0.0,-0.9999994
-0.47043854,-0.0019111581,-0.99999994
-0.4742467,-0.0038081717,-1.0
-0.47992367,-0.0056769615,-1.0
-0.48742726,-0.007503588,-1.0
-0.4967016,-0.009274342,-1.0
-0.50767744,-0.010975852,-1.0
-0.5202727,-0.012595217,-1.0
-0.53439283,-0.014120162,-1.0
-0.54993206,-0.015539221,-1.0
-0.566774,-0.016841928,-1.0
-0.58479303,-0.018019019,-1.0
-0.60385567,-0.019062635,-0.99999994
-0.62382215,-0.019966507,-0.9999997
-0.64454824,-0.020726105,-0.99999845
-0.665887,-0.021338757,-0.9999923
-0.6876907,-0.021803698,-0.99995756
-0.7098127,-0.022122052,-0.99974024
-0.73210925,-0.022296574,-0.9985363
-0.75443983,-0.022330558,-0.99221975
-0.7766625,-0.022222685,-0.96666586
-0.7986144,-0.021951847,-0.87175345
-0.8200374,-0.021423029,-0.5433095
-0.8403338,-0.020296391,0.21293366
-0.85827696,-0.017943153,0.8174354
-0.87288487,-0.0146078905,0.8380854
-0.88406974,-0.011184873,0.8514315
-0.8917709,-0.007701169,0.86415505
-0.89594275,-0.004171819,0.8761488
-0.89655334,-0.00061058736,0.9110365
-0.89354837,0.0030049793,0.9426348
-0.88689035,0.00665801,0.96639156
-0.87656635,0.01032402,0.9813013
-0.86259085,0.013975518,0.9895079
-0.84500474,0.017586084,0.9954269
-0.8238715,0.021133233,0.9987706
-0.7992805,0.024590977,0.99974644
-0.7713501,0.027930431,0.9999709
-0.740228,0.031122105,0.9999988
-0.70609313,0.034134846,1.0
-0.6691569,0.036936197,1.0
-0.6296634,0.03949352,1.0
-0.58788776,0.041775648,1.0
-0.54413295,0.04375483,1.0
-0.49872422,0.04540874,1.0
-0.45200187,0.046722356,1.0
-0.40431237,0.047689497,1.0
-0.35599855,0.048313823,1.0
-0.30738944,0.04860912,1.0
-0.25879055,0.048598886,1.0
-0.21047533,0.048315234,1.0
-0.16267806,0.047797266,1.0
-0.11558894,0.047089126,1.0
-0.069351,0.046237934,1.0
-0.024059156,0.04529185,1.0
0.020239202,0.04429836,1.0
0.063542165,0.043302964,1.0
0.105890416,0.04234825,1.0
0.14736375,0.041473337,1.0
0.18807743,0.04071369,1.0
0.22817862,0.040101193,1.0
0.26784304,0.03966441,1.0
0.30727202,0.039428983,1.0
0.34669006,0.039418045,1.0
0.3863427,0.039652646,1.0
0.42649478,0.04015207,1.0
-0.44458732,0.0,-0.9999998
-0.44667438,-0.0020870522,-1.0
-0.45083326,-0.004158878,-1.0
-0.45703354,-0.006200295,-1.0
-0.46522978,-0.008196223,-1.0
-0.47536153,-0.010131757,-1.0
-0.4873538,-0.011992275,-1.0
-0.50111735,-0.013763577,-1.0
-0.5165494,-0.01543206,-1.0
-0.53353435,-0.016984927,-1.0
-0.5519448,-0.01841042,-1.0
-0.5716429,-0.019698082,-1.0
-0.59248185,-0.020838996,-1.0
-0.6143079,-0.021826042,-0.99999994
-0.636962,-0.022654088,-0.9999997
-0.66028214,-0.023320159,-0.9999983
-0.68410563,-0.023823518,-0.9999885
-0.7082713,-0.024165682,-0.99991655
-0.7326216,-0.024350287,-0.99943745
-0.75700414,-0.02438251,-0.996504
-0.78127044,-0.024266308,-0.98243165
-0.80526465,-0.023994215,-0.9218019
-0.82877165,-0.023506993,-0.6770303
-0.851312,-0.022540342,0.0295614
-0.87172735,-0.020415395,0.7873652
-0.88880014,-0.017072808,0.82658553
-0.9024101,-0.013609918,0.84099424
-0.91249067,-0.01008058,0.85466313
-0.9189906,-0.006499964,0.8674754
-0.921872,-0.002881399,0.8809266
-0.92110664,0.00076536473,0.9155704
-0.91664463,0.00446198,0.9488132
-0.90844876,0.008195893,0.9714515
-0.8965092,0.011939603,0.98419976
-0.8808444,0.01566477,0.99119437
-0.86149776,0.019346643,0.9960543
-0.8385351,0.022962706,0.99896264
-0.81204796,0.026487112,0.9997989
-0.78215784,0.029890113,0.9999788
-0.74901724,0.03314058,0.9999993
-0.71281195,0.036205273,1.0
-0.67376256,0.03904938,1.0
-0.63212466,0.041637897,1.0
-0.5881871,0.043937538,1.0
-0.54226816,0.045918923,1.0
-0.49470928,0.04755887,1.0
-0.44586682,0.04884247,1.0
-0.39610207,0.049764752,1.0
-0.3457704,0.050331675,1.0
-0.29521006,0.050560333,1.0
-0.24473174,0.050478328,1.0
-0.19460934,0.050122403,1.0
-0.14507283,0.049536508,1.0
-0.09630327,0.048769563,1.0
-0.048430093,0.047873177,1.0
-0.0015305758,0.046899516,1.0
0.044368967,0.045899544,1.0
0.08929063,0.04492166,1.0
0.13330145,0.044010818,1.0
0.17650953,0.043208074,1.0
0.21905999,0.04255046,1.0
0.26113117,0.042071164,1.0
0.302931,0.04179986,1.0
0.34469414,0.041763112,1.0
0.38667896,0.041984826,1.0
0.4291655,0.042486563,1.0
-0.47723663,0.0,-0.999999
-0.47908324,-0.0018465945,-0.9999998
-0.48276272,-0.0036794692,-0.99999994
-0.4882477,-0.005484974,-1.0
-0.49549732,-0.0072496105,-1.0
-0.5044574,-0.008960122,-1.0
-0.515061,-0.010603604,-1.0
-0.52722865,-0.01216763,-1.0
-0.54086906,-0.013640407,-1.0
-0.55588,-0.015010937,-1.0
-0.5721492,-0.016269207,-1.0
-0.58955556,-0.017406365,-1.0
-0.6079705,-0.01841491,-0.9999999
-0.6272593,-0.019288858,-0.99999946
-0.6472832,-0.020023875,-0.99999714
-0.66790056,-0.020617377,-0.99998665
-0.68896914,-0.021068582,-0.9999318
-0.7103476,-0.021378458,-0.99960876
-0.731897,-0.021549383,-0.99793255
-0.75348073,-0.021583753,-0.9896183
-0.77495825,-0.02147752,-0.9580485
-0.7961613,-0.02120305,-0.84694374
-0.81681085,-0.02064955,-0.4847111
-0.8362612,-0.01945035,0.28162336
-0.8532732,-0.01701199,0.8235563
-0.8669611,-0.013687932,0.8422276
-0.8772423,-0.010281231,0.8552271
-0.8840587,-0.0068163653,0.8676189
-0.8873671,-0.0033084187,0.8832929
-0.8871325,0.00023459502,0.9226296
-0.8832967,0.0038358015,0.9503434
-0.8758316,0.0074651423,0.9712635
-0.86473274,0.011098879,0.98396575
-0.8500232,0.014709537,0.99116707
-0.8317517,0.018271519,0.9970021
-0.8099889,0.021762758,0.9992454
-0.784834,0.02515488,0.9998727
-0.7564146,0.028419461,0.99998736
-0.72488755,0.031527016,0.9999995
-0.69044095,0.03444659,1.0
-0.6532946,0.037146308,1.0
-0.6137,0.03959467,1.0
-0.57193774,0.04176223,1.0
-0.52831423,0.043623503,1.0
-0.48315537,0.045158867,1.0
-0.43679908,0.046356283,1.0
-0.38958645,0.04721262,1.0
-0.34185207,0.047734383,1.0
-0.29391426,0.047937825,1.0
-0.24606594,0.047848307,1.0
-0.19856684,0.0474991,1.0
-0.15163712,0.046929713,1.0
-0.105453156,0.046183962,1.0
-0.06014513,0.045308027,1.0
-0.015796516,0.044348612,1.0
0.027554903,0.04335142,1.0
0.06991486,0.042359956,1.0
0.11132961,0.041414745,1.0
0.1518825,0.040552888,1.0
0.19169044,0.039807945,1.0
0.23090051,0.039210062,1.0
0.26968676,0.038786255,1.0
0.30824757,0.038560808,1.0
0.34680328,0.038555708,1.0
0.3855943,0.03879104,1.0
0.42487964,0.039285325,1.0
-0.44486147,0.0,-0.9999998
-0.44694653,-0.0020850531,-1.0
-0.45110142,-0.0041548917,-1.0
-0.45729578,-0.006194345,-1.0
-0.4654841,-0.0081883455,-1.0
-0.4756061,-0.010122001,-1.0
-0.48758683,-0.011980704,-1.0
-0.5013371,-0.013750268,-1.0
-0.5167542,-0.015417106,-1.0
-0.53372264,-0.016968437,-1.0
-0.55211514,-0.01839252,-1.0
-0.57179403,-0.019678907,-1.0
-0.59261274,-0.020818701,-1.0
-0.61441755,-0.021804787,-0.99999994
-0.6370496,-0.022632042,-0.9999997
-0.6603471,-0.023297492,-0.9999982
-0.68414754,-0.023800405,-0.9999884
-0.7082898,-0.02414229,-0.9999155
-0.7326166,-0.024326775,-0.9994312
-0.75697565,-0.02435902,-0.9964716
-0.7812186,-0.024242932,-0.9823008
-0.8051895,-0.02397092,-0.921351
-0.8286729,-0.023483397,-0.6757091
-0.8511881,-0.022515215,0.031623125
-0.87157583,-0.02038769,0.7879803
-0.88862056,-0.017044751,0.8267164
-0.90220284,-0.013582281,0.84110975
-0.91225624,-0.010053424,0.85476816
-0.9187296,-0.0064733424,0.86757004
-0.92158496,-0.0028553705,0.88118994
-0.92079395,0.0007909967,0.9159329
-0.9163067,0.0044872887,0.9490583
-0.90808606,0.0082206,0.97158945
-0.89612263,0.011963416,0.98427486
-0.8804352,0.015687428,0.9912355
-0.86106735,0.019367894,0.9960928
-0.83808506,0.022982305,0.9989786
-0.8115803,0.026504757,0.9998033
