state_0,state_1,state_2,action_0
0.8886514,-0.45858344,-0.82515854,1.9992628
0.86788833,-0.49675936,-0.86920667,1.9985313
0.8435372,-0.53707075,-0.9419965,1.997344
0.8143311,-0.5804006,-1.045198,1.9964733
0.77865815,-0.6274484,-1.1810274,1.9962993
0.73449075,-0.67861867,-1.3521688,1.9958792
0.67931473,-0.7338471,-1.561751,1.9941494
0.6100928,-0.79232997,-1.8130139,1.9906893
0.52332205,-0.852135,-2.1086578,1.9809868
0.41524696,-0.90970874,-2.450611,1.942311
0.28224838,-0.95934135,-2.841546,1.7576778
0.120969936,-0.9926562,-3.2974005,0.7614069
-0.07504652,-0.99718004,-3.9276814,-1.3246024
-0.31345573,-0.94960284,-4.874257,-1.082773
-0.56980926,-0.821777,-5.748875,-0.681793
-0.8014092,-0.59811646,-6.4674764,-1.1199455
-0.9591127,-0.2830244,-7.084056,-1.2880787
-0.99617165,0.087419085,-7.489536,-0.85531926
-0.89375687,0.44855177,-7.5522695,0.16874671
-0.67879826,0.7343248,-7.1905437,0.65195966
-0.4068696,0.91348624,-6.542006,0.45447636
-0.12922616,0.9916152,-5.78872,-1.1573037
0.13096435,0.99138707,-5.218604,-1.2169151
0.35622215,0.9344013,-4.657601,0.07935572
0.53242815,0.8464752,-3.9448967,-0.36603928
0.6666564,0.7453652,-3.3649464,-0.41188133
0.7663236,0.64245474,-2.8677046,0.55880165
0.83503765,0.5501928,-2.3020432,-0.5727509
0.88522005,0.46517253,-1.9753113,0.08141804
0.91984206,0.39228883,-1.6142192,-0.6775212
0.9453803,0.32596946,-1.4216307,0.8931155
0.96108925,0.2762381,-1.0431863,-0.80881286
0.9732059,0.22993532,-0.9573297,0.94410324
0.98009676,0.19852044,-0.64326274,-1.0411985
0.9860346,0.16654085,-0.65055215,0.9132209
0.9890846,0.14734882,-0.3886634,-1.2529818
0.99224967,0.12426033,-0.46609905,0.98259616
0.9935877,0.11306434,-0.22551437,-1.2597431
0.9953163,0.096671544,-0.32967758,0.84304214
0.9959269,0.09016426,-0.1307176,-1.1036099
0.9968926,0.07877338,-0.22863589,0.57478476
0.9972121,0.07461875,-0.08333814,-0.8238565
0.99774694,0.06709011,-0.15095255,0.24059224
0.99795824,0.06386973,-0.06454613,-0.48676753
0.9982345,0.05939531,-0.08965896,-0.07915163
0.99839973,0.05655084,-0.05698522,-0.22939277
0.9985352,0.054105546,-0.048981007,-0.18897176
0.99863297,0.052270766,-0.036747612,-0.20024014
0.9987041,0.050893575,-0.027580557,-0.20868659
0.99875623,0.04985922,-0.020713367,-0.21380997
0.9987943,0.04909064,-0.015390446,-0.21767366
0.99882174,0.04853013,-0.011223515,-0.22042632
0.9988408,0.0481361,-0.007889863,-0.22406852
0.99885374,0.04786651,-0.005398066,-0.22753215
0.9988624,0.047685314,-0.0036280062,-0.23026407
0.9988681,0.04756527,-0.0024036295,-0.23230791
0.99887186,0.047486566,-0.001575863,-0.23376584
0.9988743,0.047435332,-0.0010258142,-0.23476744
0.9988759,0.04740215,-0.00066442945,-0.23544025
0.9988769,0.04738073,-0.0004288554,-0.23588514
0.9988776,0.047366943,-0.0002760787,-0.23617697
0.998878,0.04735808,-0.00017741698,-0.23636699
0.99887824,0.047352392,-0.00011390388,-0.23648953
0.9988784,0.047348745,-7.303945e-05,-0.23656893
0.99887854,0.047346406,-4.681994e-05,-0.23661971
0.9988786,0.047344908,-2.9971681e-05,-0.23665273
0.99887866,0.04734395,-1.9199246e-05,-0.2366736
0.99887866,0.047343336,-1.2275217e-05,-0.23668742
0.9988787,0.047342945,-7.885236e-06,-0.23669589
0.9988787,0.04734269,-5.0601984e-06,-0.23670125
0.9988787,0.04734253,-3.2293678e-06,-0.23670495
0.9988787,0.047342427,-2.0738262e-06,-0.23670709
0.9988787,0.04734236,-1.3178309e-06,-0.23670852
0.9988787,0.04734232,-8.257755e-07,-0.23670971
0.9988787,0.047342293,-5.4346594e-07,-0.23671031
0.9988787,0.047342274,-3.7092045e-07,-0.23671055
0.9988787,0.04734226,-2.4803165e-07,-0.23671067
0.9988787,0.047342252,-1.5231502e-07,-0.2367109
0.9988787,0.04734225,-9.8066586e-08,-0.2367109
0.9988787,0.047342245,-4.7491522e-08,-0.23671126
0.9988787,0.047342245,-5.2339573e-08,-0.23671114
0.9988787,0.04734224,-4.1266762e-08,-0.23671126
0.9988787,0.04734224,-4.9621118e-08,-0.23671114
0.9988787,0.047342237,-4.1952784e-08,-0.23671114
0.9988787,0.047342237,-3.5855916e-08,-0.23671126
0.9988787,0.047342233,-4.8983527e-08,-0.2367109
0.9988787,0.047342233,-1.0301783e-08,-0.23671103
0.9988787,0.047342233,1.0112683e-08,-0.23671103
0.9988787,0.047342233,3.090595e-08,-0.2367109
0.9988787,0.047342237,7.073828e-08,-0.2367115
0.9988787,0.04734224,2.3813362e-08,-0.23671126
0.9988787,0.04734224,1.3543226e-08,-0.23671126
0.9988787,0.04734224,3.7803916e-09,-0.23671126
0.9988787,0.04734224,-5.8408367e-09,-0.23671126
0.9988787,0.047342237,-1.568085e-08,-0.23671126
0.9988787,0.047342237,-2.6108237e-08,-0.23671114
0.9988787,0.047342237,-1.9632193e-08,-0.23671114
0.9988787,0.047342237,-1.3891528e-08,-0.23671126
0.9988787,0.047342233,-2.6552605e-08,-0.23671103
0.9988787,0.047342233,-4.445503e-09,-0.23671103
0.9988787,0.047342233,1.749508e-08,-0.23671103
0.9988787,0.047342237,4.0090992e-08,-0.23671126
0.9988787,0.047342237,2.8425845e-08,-0.23671126
0.9988787,0.04734224,1.782547e-08,-0.23671126
0.9988787,0.04734224,7.892802e-09,-0.23671126
0.9988787,0.04734224,-1.744218e-09,-0.23671126
0.9988787,0.04734224,-1.14465735e-08,-0.23671126
0.9988787,0.047342237,-2.1577694e-08,-0.23671114
0.9988787,0.047342237,-1.4635677e-08,-0.23671126
0.9988787,0.047342237,-2.6123276e-08,-0.23671114
0.9988787,0.047342233,-2.0708006e-08,-0.23671103
0.9988787,0.047342233,1.8129783e-09,-0.23671103
0.9988787,0.047342237,2.4401873e-08,-0.23671114
0.9988787,0.047342237,3.002342e-08,-0.23671114
0.9988787,0.04734224,3.6769578e-08,-0.23671126
0.9988787,0.04734224,2.7011659e-08,-0.23671126
0.9988787,0.04734224,1.8265542e-08,-0.23671126
0.9988787,0.04734224,1.0203613e-08,-0.23671126
0.9988787,0.04734224,2.5238909e-09,-0.23671126
0.9988787,0.04734224,-5.061292e-09,-0.23671126
0.9988787,0.04734224,-1.2836059e-08,-0.23671126
0.9988787,0.04734224,-2.109164e-08,-0.23671126
0.9988787,0.04734224,-3.013727e-08,-0.23671126
0.9988787,0.047342237,-4.0311782e-08,-0.23671114
0.9988787,0.047342237,-3.4114894e-08,-0.23671126
0.9988787,0.047342233,-4.7077275e-08,-0.2367109
0.9988787,0.047342233,-8.158896e-09,-0.23671103
0.9988787,0.047342233,1.25724755e-08,-0.23671103
0.9988787,0.047342233,3.3774786e-08,-0.2367109
0.9988787,0.047342237,7.4123626e-08,-0.2367115
0.9988787,0.04734224,2.7842013e-08,-0.23671126
0.9988787,0.04734224,1.8366094e-08,-0.23671126
0.9988787,0.04734224,9.578132e-09,-0.23671126
0.9988787,0.04734224,1.1489464e-09,-0.23671126
0.9988787,0.04734224,-7.2372015e-09,-0.23671126
0.9988787,0.04734224,-1.589444e-08,-0.23671126
0.9988787,0.04734224,-2.5147052e-08,-0.23671126
0.9988787,0.047342237,-3.534162e-08,-0.23671126
0.9988787,0.047342233,-4.6860013e-08,-0.2367109
0.9988787,0.047342233,-6.489506e-09,-0.23671103
0.9988787,0.047342237,1.5756525e-08,-0.23671114
0.9988787,0.047342237,2.0711369e-08,-0.23671114
0.9988787,0.047342237,2.6442017e-08,-0.23671114
0.9988787,0.04734224,3.316313e-08,-0.23671126
0.9988787,0.04734224,2.324507e-08,-0.23671126
0.9988787,0.04734224,1.4197725e-08,-0.23671126
0.9988787,0.04734224,5.6821974e-09,-0.23671126
0.9988787,0.04734224,-2.6204872e-09,-0.23671126
0.9988787,0.04734224,-1.102133e-08,-0.23671126
0.9988787,0.04734224,-1.9835008e-08,-0.23671126
0.9988787,0.047342237,-2.9391666e-08,-0.23671126
0.9988787,0.047342237,-4.0049276e-08,-0.23671114
0.9988787,0.047342233,-3.432566e-08,-0.23671103
0.9988787,0.047342233,-1.2006413e-08,-0.23671103
0.9988787,0.047342233,9.863095e-09,-0.23671103
0.9988787,0.047342237,3.2102054e-08,-0.23671114
0.9988787,0.047342237,3.7662097e-08,-0.23671126
0.9988787,0.04734224,2.6751493e-08,-0.23671126
0.9988787,0.04734224,1.6842945e-08,-0.23671126
0.9988787,0.04734224,7.5652995e-09,-0.23671126
0.9988787,0.04734224,-1.4289664e-09,-0.23671126
0.9988787,0.04734224,-1.0476758e-08,-0.23671126
0.9988787,0.04734224,-1.9916989e-08,-0.23671126
0.9988787,0.047342237,-3.010327e-08,-0.23671126
0.9988787,0.047342237,-4.1417156e-08,-0.23671114
0.9988787,0.047342233,-3.640105e-08,-0.23671103
0.9988787,0.047342233,-1.486706e-08,-0.23671103
0.9988787,0.047342233,6.11004e-09,-0.23671103
0.9988787,0.047342233,2.731601e-08,-0.23671103
0.9988787,0.047342237,4.9545182e-08,-0.23671126
0.9988787,0.04734224,3.7867427e-08,-0.23671126
0.9988787,0.04734224,2.7608111e-08,-0.23671126
0.9988787,0.04734224,1.8382936e-08,-0.23671126
0.9988787,0.04734224,9.8463495e-09,-0.23671126
0.9988787,0.04734224,1.6785859e-09,-0.23671126
0.9988787,0.04734224,-6.426301e-09,-0.23671126
0.9988787,0.04734224,-1.4771905e-08,-0.23671126
0.9988787,0.04734224,-2.3670832e-08,-0.23671126
0.9988787,0.047342237,-3.3456423e-08,-0.23671126
0.9988787,0.047342237,-4.449522e-08,-0.23671126
0.9988787,0.047342233,-5.720072e-08,-0.2367109
0.9988787,0.047342233,-1.8404657e-08,-0.23671103
0.9988787,0.047342233,1.82061e-09,-0.23671103
0.9988787,0.047342233,2.2114072e-08,-0.23671103
0.9988787,0.047342237,4.3235882e-08,-0.23671126
0.9988787,0.047342237,3.0214437e-08,-0.23671114
0.9988787,0.047342237,3.6206153e-08,-0.23671126
