state_0,state_1,state_2,action_0
0.7587614,-0.6513687,0.95663035,1.9822457
0.78312886,-0.62185943,0.76544064,1.9802179
0.8013122,-0.5982464,0.59607875,1.9783564
0.814399,-0.58030534,0.4441474,1.975306
0.8231597,-0.56780994,0.30521432,1.9679284
0.82808375,-0.56060445,0.17454614,1.9623148
0.8294391,-0.55859715,0.04844005,1.9598801
0.82729566,-0.56176674,-0.07652581,1.9609318
0.82153094,-0.5701639,-0.20371109,1.9612393
0.8118032,-0.58393115,-0.33714813,1.9618983
0.7975319,-0.6032767,-0.48081174,1.9644823
0.7778661,-0.62843,-0.63859695,1.9672928
0.7516247,-0.659591,-0.81482553,1.9718752
0.7172411,-0.6968251,-1.0137376,1.9772949
0.67269635,-0.7399187,-1.2397621,1.9811282
0.61546063,-0.78816766,-1.4975319,1.9808564
0.5424862,-0.8400647,-1.7915292,1.9699309
0.45028937,-0.8928827,-2.1260881,1.9325135
0.3351795,-0.9421543,-2.505873,1.7783732
0.19328493,-0.98114264,-2.9457328,1.1622176
0.019145096,-0.9998167,-3.507257,-0.5914526
-0.19685157,-0.9804333,-4.3458376,-1.288401
-0.44562003,-0.8952222,-5.2744226,-0.86442196
-0.6929999,-0.72093767,-6.0755024,-0.9565792
-0.89284647,-0.45036116,-6.7596927,-1.2820795
-0.9947329,-0.1025007,-7.2897754,-1.1927545
-0.9625345,0.27115923,-7.545564,-0.43555248
-0.79911566,0.60117733,-7.407528,0.459347
-0.5492242,0.835675,-6.8877425,0.61697483
-0.26963466,0.9629627,-6.1684403,-0.25832188
0.0012346948,0.9999992,-5.4849663,-1.4576463
0.24635293,0.96918017,-4.9536138,-0.6206198
0.44833922,0.8938635,-4.319822,0.10296297
0.6024806,0.79813355,-3.6339798,-0.6343349
0.71953464,0.6944566,-3.1305299,0.1375227
0.8031626,0.59575987,-2.5890589,0.32236576
0.86102366,0.5085649,-2.0938842,-0.934993
0.90437573,0.42673707,-1.8527095,0.72873926
0.93243057,0.3613492,-1.4233458,-1.2449839
0.9545171,0.29815617,-1.3390815,1.3519802
0.9671246,0.25430307,-0.91266733,-0.9937129
0.97727895,0.21195713,-0.87099695,0.97383404
0.9828848,0.18422122,-0.565954,-1.1653852
0.9879884,0.15452798,-0.60259587,0.9827831
0.99046755,0.13774619,-0.33928245,-1.2876505
0.9931948,0.116464615,-0.4291204,0.95720935
